Category,Date,Title,URL,Keywords,Description
climate change ,19-11-2023,Climate change and solution,https://assets-global.website-files.com/5f6cc9cd16d59d990c8fca33/6261c963b69e0279a763e42d_barack-obama-earth-day-quote.jpg,"Global Problem,climate change, global crisis","The climate crisis is a universal challenge impacting the entire world. Solving it requires a united global effort, pooling resources, knowledge, and collaborative actions across borders for sustainable solutions."
climate change ,19-11-2023,Climate changes but why arent we ?,https://i.pinimg.com/736x/45/94/b4/4594b42c0a0e3ef041a0951d55c26da4.jpg,"Climate change,renewable energy, carbon footprint","Climate change isn't a distant issue, it's impacting us daily. Its effects are visible in extreme weather events, rising temperatures, and disruptions to our ecosystems, emphasizing the urgent need for action."
climate change ,19-11-2023,climate change is happening ,https://www.boredpanda.com/blog/wp-content/uploads/2022/08/climate-change-quotes-cover_800.png,"Climate science,Sustainable living,Climate policy,deforestation","The challenge of pollution and global warming involves the urgent need to curb environmental degradation, reduce greenhouse gas emissions, and mitigate the impact of human activities on the planet to ensure a sustainable and habitable future"
climate change ,19-11-2023,"No enviornment , No economy",https://assets.ltkcontent.com/images/2094209/climate-change-quote_1ffbf8d1e6.png,"Climate solutions,Climate mitigation,greenhouse gases","The Planet is changing, why aren't we changing-A dynamic world where evolution and adaptation shape the very fabric of existence."
social issue ,19-11-2023,Global Poverty,https://dpquotes.com/wp-content/uploads/2023/07/poverty-exists-683x1024.jpg,"Poverty,inequality","""Poverty persists as a pervasive global issue, depriving individuals of basic necessities and opportunities, highlighting the crucial need for comprehensive socio-economic solutions."""
social issue ,19-11-2023,Poverty as Violence ,https://i.pinimg.com/originals/e3/5c/f2/e35cf200accfc393cb2007840a9623ad.jpg,"economic depression,unemployment, poverty cycle","Poverty is a complex societal condition characterized by a lack of material possessions, resources, or access to basic necessities, often resulting in inadequate standards of living, limited opportunities, and exclusion from essential services."
social issue,19-11-2023,Homeless are not the problem,https://i.pinimg.com/originals/87/49/c4/8749c4ca636f7a397daf09175ed1b9ac.png,Homelessness,"Homelessness is a distressing state where individuals or families lack a stable, safe, and adequate place to live, often enduring life without a fixed residence."
social issue,19-11-2023,Homeless not to be ignored ,https://assets-global.website-files.com/5f6cc9cd16d59d990c8fca33/6388920a28a27027014e3f15_homelessness-quotes-famous-2.jpg,Social Impact,"Homelessness, often overlooked, demands attention as a critical social issue, urging society to confront the dire consequences of neglecting those without shelter."
social issue,19-11-2023,Homelessness not a choice ,https://iquotes.fsmstatistics.fm/quotes/preview/dTB4cGRsem5DcWlBMGVROWZJVXQrVlVndytYbkRNaWZidkpsUnVOaTYwTUtxeEhKWUFkbXBBMHV4MDg1WjVXTmZoSUhrOThkUG1IZ2FkMUlHMzZrdVpaODZoVlVWaFJlaEJTa0NkNkFLbE09/HOMELESS+QUOTES/(5f6808de5656c01d1175bb0c3e5e83a6).jpg,Social Change,"Homelessness, a haunting reality, renders lives adrift without roofs, compounding vulnerability amidst the absence of a secure haven."
social issue,19-11-2023,Homeless doesnâ€™t need judgement,https://marketplace.canva.com/EAFLCdbdeGk/1/0/1600w/canva-black-white-clean-corporate-donation-sales-volunteering-impact-square-homelessness-instagram-post-YYwrAMBsHxQ.jpg,Diversity ,"Homelessness: a stark reality where shelter becomes a luxury, souls wander without refuge in a world where homes are elusive dreams."
social issue,19-11-2023,corruption,https://miro.medium.com/v2/resize:fit:1400/1*2_6ddRDRkSYXd6CN_FnJyQ.png,Civil engagement,corruption - Abuse of power for personal gain.
social issue,19-11-2023,Duty of youth,https://miro.medium.com/v2/resize:fit:1400/1*KSQjI9-pQdzla6EcNtW2JQ.png,Social Reform,Abuse of trust for personal advantage.
social issue,19-11-2023,corruption as cancer,https://miro.medium.com/v2/resize:fit:1400/1*BrWYPd2AiDSRMNTJx2ubEg.png,Social justice,Manipulation of authority for personal benefit.
social issue,19-11-2023,Discrimination,https://www.azquotes.com/picture-quotes/quote-no-one-is-born-hating-another-person-because-of-the-color-of-his-skin-or-his-background-nelson-mandela-37-18-06.jpg,Discrimination,Unfair treatment based on biased perceptions.
social issue,19-11-2023,Difference doesnâ€™t divide us,https://hips.hearstapps.com/hmg-prod/images/gh-060420-quotes-on-racism28-1591302345.png,Social Responsibility,Prejudice fueling unequal treatment and exclusion.
mental health,19-11-2023,Do what makes you happy,https://images.pexels.com/photos/5245121/pexels-photo-5245121.jpeg,Selfcare,Joyful fulfillment in life's moments.
mental health,19-11-2023,Self care,https://images.pexels.com/photos/2821823/pexels-photo-2821823.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Happiness,"Self-care: nurturing, kindness to oneself."
mental health,19-11-2023,Kindness ,https://images.pexels.com/photos/6268695/pexels-photo-6268695.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Depression,Nurturing self through acts of kindness.
mental health,19-11-2023,mental health,https://themindsjournal.com/wp-content/uploads/2022/04/I-Have-A-Personality-Disorder.jpg,Anxiety,Well-being: mind's emotional and psychological state.
article ,21-10-2022,Drought,https://www.who.int/health-topics/drought?gclid=CjwKCAiAu9yqBhBmEiwAHTx5pzOywI5mlzoo3BxPpEcIZHjgoNvnTN70MuMVOph6c3ocDA__vJyFaRoCT2YQAvD_BwE#tab=tab_1,Droughts,"Drought: prolonged dryness, water scarcity crisis."
article ,11-05-2020,flood,https://www.nationalgeographic.com/environment/article/floods,Flood,"Flood: overflow, inundation of land areas."
article ,06-06-2021,mental health,https://www.unicef.org/parenting/mental-health/what-is-depression?gclid=CjwKCAiAu9yqBhBmEiwAHTx5pzzpEfkunPDLHXB15O-TlKd5L2OzszXINkM8B1bQ4Wd-0AL0MQPmrxoCmwYQAvD_BwE,Insecurity,"""Reflecting on life's satisfaction."""
article ,19-11-2023,mental health,https://www.alwujud.com/are-you-satisfied-with-your-life/?utm_source=google&utm_medium=cpc&utm_campaign=OH_EN-Begin-Themas&gad_source=1&gclid=CjwKCAiAu9yqBhBmEiwAHTx5p5Dw8GL2ol1Q_pkMMxqsk7ACQKXFEuH3cU_z7FuImGvSqH2jFU9vxhoCNvsQAvD_BwE,Depression,"""Nurturing minds for well-being."""
article ,18-11-2022,murder news,https://indianexpress.com/article/cities/delhi/swiss-womans-murder-accused-sent-to-5-day-police-custody-8999450/,"Criminal,Mental health",Murder case: investigation into fatal crimes committed.
article ,20-10-2020,air pollution,https://indianexpress.com/article/opinion/columns/who-is-afraid-of-air-pollution-9031447/,"Pollution,Health",Toxic particles clouding our atmosphere's purity.
article ,08-12-2023,murder news,https://indianexpress.com/article/cities/chandigarh/kharar-triple-murder-accused-sister-in-laws-murder-suicide-remanded-six-day-police-custody-8982200/,Killing,"Persistent sadness, loss of interest, hopelessness."
article ,06-06-2023,sports news ,https://www.hindustantimes.com/cricket/india-vs-new-zealand-live-score-icc-world-cup-2023-1st-semi-final-today-15-november-ind-vs-nz-odi-match-wankhede-stadium-101700017364894.html,Athletes,"Sports: Scores, Trades, Wins, Player Updates."
article ,02-10-2022,murder news,https://indianexpress.com/article/cities/delhi/minor-stabs-19-year-old-revenge-killing-northeast-delhi-9001639/,"Death,Police case","A murder case involves the intentional killing of a person, prompting investigation and legal proceedings to determine the perpetrator and bring justice for the victim."
